epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,139.07,0.57382,0.45325,0.82145,0.99901,1,0.995,0.86331,0.62374,0.46502,0.82771,0.0011486,0.0011486,0.0011486
45,141.305,0.56315,0.45545,0.82238,0.9991,1,0.995,0.85718,0.63951,0.45225,0.83695,0.0011288,0.0011288,0.0011288
46,143.441,0.55307,0.43308,0.80391,0.999,1,0.995,0.84547,0.63234,0.43589,0.82924,0.001109,0.001109,0.001109
47,145.568,0.57875,0.45077,0.82051,0.99894,1,0.995,0.84804,0.61912,0.4217,0.82228,0.0010892,0.0010892,0.0010892
48,147.668,0.56329,0.44113,0.81053,0.99898,1,0.995,0.84383,0.64153,0.41141,0.83182,0.0010694,0.0010694,0.0010694
49,149.799,0.54531,0.42944,0.8177,0.99901,1,0.995,0.84685,0.63121,0.43423,0.82977,0.0010496,0.0010496,0.0010496
50,151.902,0.59523,0.43914,0.81616,0.99903,1,0.995,0.83117,0.64658,0.43709,0.84454,0.0010298,0.0010298,0.0010298
51,154.066,0.55828,0.43215,0.82437,0.99901,1,0.995,0.84629,0.63802,0.43021,0.85025,0.00101,0.00101,0.00101
52,156.262,0.55301,0.42722,0.80083,0.999,1,0.995,0.83281,0.66356,0.434,0.85357,0.0009902,0.0009902,0.0009902
53,158.563,0.5381,0.40019,0.8077,0.99902,1,0.995,0.83352,0.66991,0.42348,0.86137,0.0009704,0.0009704,0.0009704
54,160.694,0.56994,0.41333,0.81681,0.99907,1,0.995,0.81442,0.6825,0.43744,0.86845,0.0009506,0.0009506,0.0009506
55,162.81,0.56172,0.41989,0.81569,0.99908,1,0.995,0.84268,0.64095,0.42793,0.84687,0.0009308,0.0009308,0.0009308
56,165.032,0.55959,0.41093,0.81736,0.99905,1,0.995,0.86304,0.59074,0.39982,0.81516,0.000911,0.000911,0.000911
57,167.205,0.54256,0.40488,0.80804,0.99906,1,0.995,0.84463,0.61137,0.39327,0.82381,0.0008912,0.0008912,0.0008912
58,169.307,0.5581,0.39922,0.80814,0.99908,1,0.995,0.8473,0.61768,0.39048,0.82364,0.0008714,0.0008714,0.0008714
59,171.485,0.55959,0.42165,0.81299,0.99907,1,0.995,0.86386,0.57559,0.37949,0.80794,0.0008516,0.0008516,0.0008516
60,173.619,0.56627,0.39544,0.81048,0.99902,1,0.995,0.86622,0.57307,0.36959,0.80469,0.0008318,0.0008318,0.0008318
61,175.73,0.52489,0.38787,0.80712,0.99905,1,0.995,0.8696,0.5869,0.37132,0.80935,0.000812,0.000812,0.000812
62,177.851,0.5361,0.39163,0.80315,0.99906,1,0.995,0.85904,0.60045,0.37752,0.8143,0.0007922,0.0007922,0.0007922
63,180.053,0.52892,0.3863,0.81408,0.99903,1,0.995,0.86679,0.59077,0.37304,0.80955,0.0007724,0.0007724,0.0007724
64,182.318,0.50542,0.37335,0.79763,0.99898,1,0.995,0.86766,0.58807,0.36577,0.8128,0.0007526,0.0007526,0.0007526
65,184.541,0.50882,0.37558,0.79871,0.99902,1,0.995,0.86543,0.57068,0.36453,0.80696,0.0007328,0.0007328,0.0007328
66,186.653,0.53026,0.38564,0.81874,0.99902,1,0.995,0.85818,0.55768,0.35622,0.80284,0.000713,0.000713,0.000713
67,188.809,0.49479,0.37304,0.80894,0.99903,1,0.995,0.86471,0.56502,0.35327,0.80377,0.0006932,0.0006932,0.0006932
68,190.975,0.50262,0.3714,0.80274,0.99904,1,0.995,0.86283,0.58389,0.37312,0.81016,0.0006734,0.0006734,0.0006734
69,193.155,0.50389,0.37516,0.81324,0.999,1,0.995,0.8705,0.57298,0.37618,0.81208,0.0006536,0.0006536,0.0006536
70,195.306,0.49918,0.36447,0.80506,0.99901,1,0.995,0.86494,0.55875,0.36929,0.8078,0.0006338,0.0006338,0.0006338
71,197.511,0.53019,0.37062,0.80687,0.99903,1,0.995,0.85917,0.54388,0.35444,0.8032,0.000614,0.000614,0.000614
72,199.701,0.51502,0.37199,0.81673,0.99906,1,0.995,0.86631,0.55804,0.34541,0.80548,0.0005942,0.0005942,0.0005942
73,201.96,0.51644,0.36407,0.80012,0.99906,1,0.995,0.86236,0.56603,0.34445,0.80666,0.0005744,0.0005744,0.0005744
74,204.169,0.49234,0.35909,0.79745,0.99906,1,0.995,0.87129,0.54994,0.34281,0.80392,0.0005546,0.0005546,0.0005546
75,206.296,0.50167,0.35366,0.80375,0.99904,1,0.995,0.87687,0.54121,0.34374,0.80128,0.0005348,0.0005348,0.0005348
76,208.38,0.44772,0.33794,0.79249,0.99902,1,0.995,0.87033,0.53843,0.34514,0.80098,0.000515,0.000515,0.000515
77,210.495,0.48157,0.35681,0.79806,0.99903,1,0.995,0.87428,0.53913,0.34092,0.80156,0.0004952,0.0004952,0.0004952
78,212.624,0.47903,0.348,0.8057,0.99902,1,0.995,0.87089,0.55079,0.33615,0.80363,0.0004754,0.0004754,0.0004754
79,214.769,0.48141,0.35644,0.806,0.99901,1,0.995,0.86895,0.55157,0.34633,0.80395,0.0004556,0.0004556,0.0004556
80,216.952,0.48695,0.34138,0.80477,0.999,1,0.995,0.86449,0.54729,0.35096,0.80386,0.0004358,0.0004358,0.0004358
81,219.158,0.51931,0.36214,0.81484,0.999,1,0.995,0.85832,0.54953,0.34307,0.80367,0.000416,0.000416,0.000416
82,221.29,0.50862,0.35529,0.81227,0.999,1,0.995,0.86465,0.55585,0.33386,0.80564,0.0003962,0.0003962,0.0003962
83,223.465,0.47947,0.35431,0.7962,0.99903,1,0.995,0.86202,0.56611,0.33762,0.80789,0.0003764,0.0003764,0.0003764
84,225.645,0.47052,0.3393,0.79487,0.99906,1,0.995,0.8654,0.57759,0.32788,0.81049,0.0003566,0.0003566,0.0003566
85,227.807,0.50428,0.35299,0.81309,0.99907,1,0.995,0.86202,0.56326,0.32054,0.80524,0.0003368,0.0003368,0.0003368
86,229.968,0.47546,0.34428,0.79404,0.99907,1,0.995,0.87103,0.55578,0.31528,0.80236,0.000317,0.000317,0.000317
87,232.108,0.49074,0.34536,0.80041,0.99908,1,0.995,0.87024,0.55506,0.31929,0.80211,0.0002972,0.0002972,0.0002972
88,234.244,0.46783,0.33024,0.80173,0.99904,1,0.995,0.86331,0.55607,0.32933,0.80408,0.0002774,0.0002774,0.0002774
89,236.39,0.47948,0.3283,0.80169,0.99903,1,0.995,0.87237,0.56841,0.3322,0.80687,0.0002576,0.0002576,0.0002576
90,238.505,0.45618,0.332,0.80781,0.99903,1,0.995,0.86638,0.57952,0.32725,0.81001,0.0002378,0.0002378,0.0002378
91,241.966,0.46838,0.38389,0.80646,0.99903,1,0.995,0.86779,0.58442,0.32116,0.81116,0.000218,0.000218,0.000218
92,244.135,0.44698,0.37302,0.80325,0.99896,1,0.995,0.86694,0.56843,0.31778,0.80721,0.0001982,0.0001982,0.0001982
93,246.26,0.44177,0.36213,0.80099,0.99893,1,0.995,0.86891,0.55728,0.32318,0.80507,0.0001784,0.0001784,0.0001784
94,248.463,0.47795,0.39311,0.82176,0.99895,1,0.995,0.8696,0.55473,0.32812,0.80494,0.0001586,0.0001586,0.0001586
95,250.56,0.50294,0.40019,0.80745,0.99897,1,0.995,0.8777,0.55875,0.32854,0.80611,0.0001388,0.0001388,0.0001388
96,252.737,0.44668,0.36483,0.784,0.99901,1,0.995,0.87901,0.5644,0.32386,0.80882,0.000119,0.000119,0.000119
97,254.943,0.46,0.34484,0.8102,0.99902,1,0.995,0.87816,0.56056,0.32257,0.80818,9.92e-05,9.92e-05,9.92e-05
98,257.031,0.45525,0.36175,0.80722,0.99904,1,0.995,0.87937,0.55721,0.32166,0.80682,7.94e-05,7.94e-05,7.94e-05
99,259.253,0.43269,0.33468,0.79568,0.99905,1,0.995,0.87586,0.55617,0.31953,0.80671,5.96e-05,5.96e-05,5.96e-05
100,261.429,0.47145,0.36992,0.79909,0.99907,1,0.995,0.87159,0.55637,0.31477,0.80667,3.98e-05,3.98e-05,3.98e-05
