epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,252.754,0.75796,0.45628,0.81018,0.96963,0.98322,0.96732,0.81526,0.60587,0.46581,0.81789,0.0014588,0.0014588,0.0014588
43,257.969,0.84186,0.47234,0.80794,0.96914,0.98322,0.97008,0.75417,0.89878,0.49455,0.83388,0.0014456,0.0014456,0.0014456
44,263.153,0.78933,0.46108,0.81431,0.96547,0.97987,0.96841,0.82724,0.55807,0.42387,0.81454,0.0014324,0.0014324,0.0014324
45,268.244,0.76008,0.4438,0.81002,0.96452,0.98322,0.97523,0.81135,0.69144,0.43722,0.82398,0.0014192,0.0014192,0.0014192
46,273.383,0.81046,0.4569,0.81486,0.96355,0.98322,0.97675,0.83648,0.58743,0.41706,0.81702,0.001406,0.001406,0.001406
47,278.68,0.74694,0.43227,0.80925,0.96557,0.97987,0.97809,0.82175,0.6642,0.44202,0.82031,0.0013928,0.0013928,0.0013928
48,283.833,0.76624,0.4355,0.81087,0.97007,0.97886,0.97252,0.82996,0.61365,0.42388,0.81938,0.0013796,0.0013796,0.0013796
49,288.987,0.77005,0.44244,0.81617,0.96669,0.97987,0.97195,0.83212,0.57208,0.41759,0.81606,0.0013664,0.0013664,0.0013664
50,294.232,0.75468,0.43579,0.80809,0.96853,0.97987,0.97748,0.82884,0.63408,0.42542,0.81612,0.0013532,0.0013532,0.0013532
51,299.432,0.7519,0.42669,0.80902,0.96953,0.97987,0.97831,0.84458,0.56615,0.39737,0.81376,0.00134,0.00134,0.00134
52,304.655,0.70866,0.40695,0.8056,0.96926,0.97987,0.9797,0.85154,0.56784,0.39244,0.8151,0.0013268,0.0013268,0.0013268
53,309.869,0.7079,0.41137,0.80432,0.97017,0.98208,0.97759,0.83133,0.60205,0.40158,0.81785,0.0013136,0.0013136,0.0013136
54,315.087,0.71248,0.42311,0.80811,0.97001,0.98322,0.97406,0.82226,0.61525,0.4089,0.8195,0.0013004,0.0013004,0.0013004
55,320.214,0.71086,0.42187,0.80408,0.96994,0.98322,0.97727,0.82817,0.64258,0.40249,0.82036,0.0012872,0.0012872,0.0012872
56,325.321,0.68452,0.41819,0.80187,0.96949,0.98322,0.97482,0.83089,0.58402,0.39249,0.81719,0.001274,0.001274,0.001274
57,330.477,0.68287,0.41015,0.79841,0.96943,0.98322,0.97626,0.8444,0.58924,0.39855,0.81801,0.0012608,0.0012608,0.0012608
58,335.636,0.692,0.40148,0.79977,0.96972,0.98322,0.98023,0.82198,0.66869,0.41401,0.82081,0.0012476,0.0012476,0.0012476
59,340.895,0.7146,0.42049,0.80664,0.96926,0.98322,0.97888,0.84163,0.58126,0.40424,0.81324,0.0012344,0.0012344,0.0012344
60,346.033,0.69959,0.40639,0.80717,0.96989,0.98322,0.9785,0.834,0.58112,0.38666,0.81366,0.0012212,0.0012212,0.0012212
61,351.163,0.72051,0.411,0.8058,0.96989,0.98322,0.97889,0.83007,0.63087,0.39309,0.81814,0.001208,0.001208,0.001208
62,356.302,0.7214,0.40767,0.80077,0.96797,0.97987,0.97742,0.82962,0.62314,0.39769,0.81543,0.0011948,0.0011948,0.0011948
63,361.541,0.72376,0.3987,0.81424,0.96326,0.98322,0.97337,0.83729,0.56256,0.38728,0.81307,0.0011816,0.0011816,0.0011816
64,366.664,0.70038,0.39725,0.79912,0.96966,0.97987,0.97286,0.83564,0.58594,0.3893,0.816,0.0011684,0.0011684,0.0011684
65,371.873,0.67376,0.38247,0.80776,0.96422,0.98322,0.97249,0.83348,0.59737,0.38135,0.81611,0.0011552,0.0011552,0.0011552
66,377.051,0.65276,0.37415,0.80053,0.96592,0.98322,0.97259,0.83597,0.55399,0.36768,0.81506,0.001142,0.001142,0.001142
67,382.292,0.67494,0.38191,0.80536,0.96955,0.98322,0.97874,0.83067,0.63387,0.39062,0.81889,0.0011288,0.0011288,0.0011288
68,387.625,0.67546,0.37746,0.80366,0.96923,0.98322,0.9804,0.84049,0.60023,0.37165,0.81638,0.0011156,0.0011156,0.0011156
69,392.728,0.69707,0.38495,0.81024,0.96829,0.97987,0.98097,0.85767,0.55571,0.36257,0.81409,0.0011024,0.0011024,0.0011024
70,398.068,0.67551,0.37574,0.80656,0.96965,0.98322,0.97866,0.84374,0.59804,0.37028,0.81432,0.0010892,0.0010892,0.0010892
71,403.242,0.67421,0.37697,0.80538,0.96958,0.98322,0.97691,0.85822,0.52701,0.35314,0.81358,0.001076,0.001076,0.001076
72,408.471,0.67376,0.37314,0.80608,0.96957,0.98322,0.98039,0.85241,0.5703,0.35844,0.81399,0.0010628,0.0010628,0.0010628
73,413.629,0.65583,0.36234,0.80102,0.96985,0.98322,0.97901,0.85665,0.53751,0.36287,0.81403,0.0010496,0.0010496,0.0010496
74,418.672,0.64523,0.3659,0.79959,0.96883,0.98322,0.97691,0.8526,0.54558,0.36409,0.8124,0.0010364,0.0010364,0.0010364
75,423.926,0.63868,0.363,0.79754,0.96942,0.98322,0.97864,0.85182,0.55655,0.36094,0.81299,0.0010232,0.0010232,0.0010232
76,429.168,0.64865,0.36115,0.80523,0.97005,0.98322,0.97873,0.80962,0.68505,0.38655,0.8237,0.00101,0.00101,0.00101
77,434.542,0.65852,0.3633,0.80384,0.96851,0.97987,0.98035,0.85595,0.52911,0.35563,0.81347,0.0009968,0.0009968,0.0009968
78,439.677,0.71102,0.37619,0.80285,0.97019,0.98296,0.98099,0.83997,0.60465,0.36705,0.81502,0.0009836,0.0009836,0.0009836
79,444.861,0.67234,0.36309,0.80026,0.97017,0.98322,0.97731,0.85555,0.5388,0.35594,0.81162,0.0009704,0.0009704,0.0009704
80,450.021,0.63704,0.36151,0.79832,0.96983,0.98322,0.97464,0.8539,0.52956,0.34342,0.8126,0.0009572,0.0009572,0.0009572
81,455.566,0.67186,0.36357,0.799,0.97078,0.98322,0.97725,0.80855,0.72599,0.39163,0.82364,0.000944,0.000944,0.000944
82,460.88,0.6818,0.36886,0.80142,0.97307,0.98322,0.97711,0.84142,0.57378,0.36122,0.81232,0.0009308,0.0009308,0.0009308
83,466.107,0.76761,0.3909,0.8079,0.96952,0.98322,0.97677,0.83967,0.61056,0.37405,0.81661,0.0009176,0.0009176,0.0009176
84,471.22,0.70351,0.38342,0.80468,0.97341,0.98293,0.97442,0.8546,0.53605,0.35182,0.81126,0.0009044,0.0009044,0.0009044
85,476.411,0.65142,0.36011,0.79844,0.97234,0.98322,0.97431,0.84342,0.5666,0.35442,0.81272,0.0008912,0.0008912,0.0008912
86,481.57,0.68416,0.37391,0.80595,0.97217,0.98322,0.97601,0.8386,0.56441,0.35418,0.81314,0.000878,0.000878,0.000878
87,486.947,0.66148,0.36006,0.79743,0.97259,0.98322,0.97944,0.84971,0.58523,0.36318,0.816,0.0008648,0.0008648,0.0008648
88,492.082,0.66537,0.35481,0.80013,0.96983,0.98322,0.98371,0.85648,0.58231,0.35227,0.8147,0.0008516,0.0008516,0.0008516
89,497.842,0.65786,0.36075,0.79734,0.96931,0.98322,0.98299,0.85423,0.61547,0.36857,0.81492,0.0008384,0.0008384,0.0008384
90,503.491,0.63822,0.35275,0.80293,0.9697,0.98322,0.98013,0.86064,0.54468,0.34751,0.81488,0.0008252,0.0008252,0.0008252
91,508.836,0.62713,0.3469,0.79512,0.96949,0.98322,0.98045,0.85333,0.58641,0.36007,0.81803,0.000812,0.000812,0.000812
92,513.933,0.63297,0.34672,0.79695,0.96857,0.98322,0.97617,0.84481,0.57438,0.33801,0.81534,0.0007988,0.0007988,0.0007988
93,519.341,0.65475,0.35124,0.79899,0.96922,0.98322,0.97726,0.86345,0.52265,0.33498,0.81346,0.0007856,0.0007856,0.0007856
94,524.7,0.61356,0.33926,0.80083,0.96957,0.98322,0.9825,0.84947,0.57758,0.34567,0.81968,0.0007724,0.0007724,0.0007724
95,529.843,0.62473,0.34547,0.79786,0.96973,0.98322,0.98032,0.86804,0.54498,0.34886,0.81582,0.0007592,0.0007592,0.0007592
96,535.306,0.61071,0.34241,0.79813,0.97017,0.97987,0.98106,0.861,0.54271,0.33928,0.81477,0.000746,0.000746,0.000746
97,540.37,0.62356,0.34129,0.80104,0.9734,0.98256,0.98143,0.8565,0.54737,0.34126,0.81538,0.0007328,0.0007328,0.0007328
98,545.551,0.60016,0.33398,0.79767,0.97124,0.98322,0.98131,0.85092,0.59656,0.35078,0.81726,0.0007196,0.0007196,0.0007196
99,550.68,0.62478,0.34111,0.7991,0.97016,0.98322,0.98128,0.87303,0.51913,0.33323,0.81295,0.0007064,0.0007064,0.0007064
100,555.864,0.58629,0.32868,0.79683,0.9734,0.98254,0.98098,0.87948,0.50803,0.33393,0.81438,0.0006932,0.0006932,0.0006932
